10 digit HTS,10 digit HTS Description,APHIS Flag,APHIS Flag Description,APHIS Primary Category Type,Category Code,APHIS Operational Program,Category Code Description,APHIS Secondary Category Type
0407.11.00.00,"BIRD EGG IN SHELL FOR HATCHING, GALLIUS DOMESTICUS",flag not enforced,flag not enforced,AP0100 Live Animal,114,VS,Eggs For Hatching,N/A
0406.90.99.00,"CHEESE/SUBSTITUTES/MIXTURES, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.90.97.00,"CHEESE/SUBS/MIX CNT COW'S MILK EXC SOFT-RIPENED, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.90.95.00,"CHEESE/SUBS/MIX CNT COW'S MILK EXC SOFT-RIPENED,PER US NT 16",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.90.78.00,"CHEESE/SUBS/MIX CNT OR PROC FROM CHEDDAR, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.90.59.00,CHEESE FROM SHEEP'S MILK/OTHER,AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.90.57.00,"CHEESE,PECORINO SHEEP'S MILK, ORIG LOAVES, NOT SUIT GRATING",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.90.56.00,"CHEESE FROM SHEEP'S MILK,ORIG LOAVES SUITABLE FOR GRATING",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.90.46.00,"CHEESE, SWISS, EMMENTALER W/ EYE FORMATION, CHAP4 US NOTE 25",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.90.42.00,"CHEESE,ROMANO,REGGIANO,PARMESAN,ETC, FROM COW'S MILK, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.90.18.00,"CHEESE, EDAM AND GOUDA, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.90.16.00,"CHEESE, EDAM AND GOUDA, U.S. NOTE 20",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.90.08.10,"CHEESE,CHEDDAR, PRODUCED IN CANADA NOT SUBJECT TO LICENSE",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.40.44.00,"Stilton cheese, In original loaves",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.40.40.00,CHEESE BLUE VEIN ROQUFORT OTHER THAN ORIGINAL LOAVES,AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.40.20.00,CHEESE BLUE VEINED ROQUEFORT IN ORIGINAL LOAVES,AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.30.91.00,"CHEESES, PROCESSED CONTAINING COW'S MILK, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.30.67.00,"CHEESES, PROCESSED FROM CHEDDAR, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.30.48.00,"EDAM/GOUDA CHEESE,PROCESSED,NOT GRATED/POWDERED, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.30.28.00,"CHEDDAR CHEESE,PROCESSED,NOT GRATED/POWDERED, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.20.56.00,"CHEESE/CURD/GTD/PWD/INC MIXTURES, OTHER, GN 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.20.54.00,"Cheese and curd: Grated or powdered cheese, of all kinds: Romano made from cow's milk, Reggiano, Parmesan, Provolone, Provoletti, Sbrinz and Goya cheeses: Other: Other",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.20.53.00,"CHEESE/CURD, GRATED/POWDERED/COWS MILK/OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.20.51.00,"CHEESE/CURD, GRATED/POWDERED/COWS MILK US NOTE 21",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.20.28.00,"Cheese and curd: Grated or powdered cheese, of all kinds: Blue-veined cheese: Other: Other",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.95.00,"CHEESE/CURD, FRESH, OTHER, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.88.00,CHEESE/CURD/FRESH/OTHER/9906.05.07-9906.05.09,AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.84.00,"CHEESE/CURD, FRESH, OTHER IN U.S. NOTE 16",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.78.00,CHEESE/CURD/FRESH/OTHER/9906.05.04-9906.05.06,AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.74.00,"CHEESE/CURD, FRESH, = OR < .5% WT BUTTERFAT USN 23",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.68.00,CHEESE/CURD/FRESH/SWISS/GRUYERE/OTHER 9906.05.01-9906.05.03,AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.64.00,"CHEESE/CURD, FRESH, SWISS/GRUYERE, U.S. NOTE 22",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.58.00,"CHEESE/CURD, FR/ITAL-TYPE, OTHER 9906.04.95 - 9906.05.00",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.54.00,"CHEESE/CURD, FRESH, ITALIAN-TYPE U.S.NOTE 21",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.48.00,"FRESH CHEESE, EDAM, GOUDA, OTHER 9906.04.89 - 9906.04.94",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.44.00,"FRESH CHEESE, EDAM AND GOUDA PER U.S. NOTE 20",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.38.00,"FRESH CHEESE, AMERICAN-TYPE, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.34.00,"FRESH CHEESE, AMERICAN-TYPE PER U.S. NOTE 19",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.28.00,"FRESH CHEESE, CHEDDAR, 9906.04.86 - 990604.88",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.24.00,"FRESH CHEESE, OTHER, CHEDDAR, PER U.S. NOTE 18",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.18.00,"FRESH CHEESE, OTHER, BLUE-MOLD, OTHER, 9906.04.83 - 85",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.14.00,"FRESH CHEESE, OTHER, BLUE-MOLD, US NOTE 17",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.12.00,"FRESH CHEESE, OTHER, PER GEN NOTE 15 OF HTS",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.08.00,"CHONGOS, FRESH CHEESE, OTHER",AQ2,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.04.00,"CHONGOS, FRESH CHEESE, PER CH 4, US NOTE 16",AQ2,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0406.10.02.00,"CHONGOS, FRESH CHEESE, PER GEN NOTE 15 OF HTS",AQ2,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0405.90.20.40,"FATS, OILS FROM OTHER MILK",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
0405.90.20.20,"FATS, OILS FROM ANHYDROUS MILK, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
0405.90.10.40,"FATS,OILS FM MILK-OTHER-US  NOTE 14-NOT ANHYDROUS MILK",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
0405.90.10.20,"FATS,OILS FROM MILK-OTHER-NOTE 14 ANHYDROUS MILK",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
0405.90.05.40,"FATS,OILS,OTHER-FROM MILK-NOT ANHYDROUS MILK FAT, GN 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
0405.90.05.20,"FATS,OILS,OTHER, FROM MILK-ANHYDROUS MILK FAT, GEN NOTE 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
0405.20.80.00,"DAIRY SPREADS, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
0405.20.70.00,"DAIRY SPREADS,OTHER,US NOTE 1-4",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
0405.20.60.00,"DAIRY SPREADS,GENERAL NOTE 10,US NOTE 1-4",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
0405.20.50.00,"DAIRY SPREADS,GENERAL NOTE 15,US NOTE 1-4",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
0405.20.40.00,"BUTTER SUBS,DERIVED FROM MILK,OTHER,<=45%",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
0405.20.30.00,"BUTTER SUBS,DERIVED FROM MILK,OTHER,>45%",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
0405.20.20.00,"BUTTER SUBS,DERIVED FROM MILK DESC. GENERAL NOTE 14,>45%",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
0405.20.10.00,"BUTTER SUBS,DERIVED FROM MILK DESC. GENERAL NOTE 15,>45%",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
0405.10.20.00,OTHER BUTTER DERIVED FROM MILK,AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
0405.10.10.00,"BUTTER,DERIVED FROM MILK DESC. US NOTE 6",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"302, 304",VS,"Milk and Milk Products; Food containing egg/egg products, and/or milk/milk products",N/A
0404.90.70.00,"WHEY, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302 or 306A,VS,"Milk and Milk Products or Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements",N/A
0404.90.50.00,"WHEY, OTHER DAIRY PRODUCTS, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302 or 306A,VS,"Milk and Milk Products or Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements",N/A
0404.90.30.00,"WHEY, OTH DAIRY PROD IN US NOTE 1,DESC IN US NOTE 10",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302 or 306A,VS,"Milk and Milk Products or Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements",N/A
0404.90.28.00,"WHEY, OTHER DAIRY PRODUCTS IN US NOTE 1, DESC IN GN15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302 or 306A,VS,"Milk and Milk Products or Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements",N/A
0404.90.10.00,MILK PROTEIN CONCENTRATES,AQ1,APHIS Data May Be Required,AP0300 Animal Product,302 or 306A,VS,"Milk and Milk Products or Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements",N/A
0404.10.90.00,OTHER WHEY,AQ1,APHIS Data May Be Required,AP0300 Animal Product,302 or 306A,VS,"Milk and Milk Products or Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements",N/A
0404.10.50.90,"WHEY, OTHER, DESC. U.S. NOTE 12-NO LICENSE REQD.",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302 or 306A,VS,"Milk and Milk Products or Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements",N/A
0404.10.50.10,"WHEY, DRIED, DESC. U.S. NOTE 12-LICENSE REQD.",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302 or 306A,VS,"Milk and Milk Products or Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements",N/A
0404.10.48.00,"DRIED WHEY, DESC. GENERAL NOTE 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302 or 306A,VS,"Milk and Milk Products or Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements",N/A
0404.10.20.00,FLUID WHEY,AQ1,APHIS Data May Be Required,AP0300 Animal Product,302 or 306A,VS,"Milk and Milk Products or Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements",N/A
0404.10.15.00,"MODIFIED WHEY PROTEIN CONCENTRATES, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302 or 306A,VS,"Milk and Milk Products or Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements",N/A
0404.10.11.00,MODIFIED WHEY PROTEIN CONCENTRATES-OTHER-NOTE 10,AQ1,APHIS Data May Be Required,AP0300 Animal Product,302 or 306A,VS,"Milk and Milk Products or Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements",N/A
0404.10.08.00,MODIFIED WHEY PROTEIN CONCENTRATES-OTHER-NOTE 15,AQ1,APHIS Data May Be Required,AP0300 Animal Product,302 or 306A,VS,"Milk and Milk Products or Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements",N/A
0404.10.05.00,WHEY PROTEIN CONCENTRATES,AQ1,APHIS Data May Be Required,AP0300 Animal Product,302 or 306A,VS,"Milk and Milk Products or Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements",N/A
0403.90.95.00,"BUTTERMILK, NOT FERMENTED, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.90.00,"MILK PRODUCTS NOT FERMENTED,DESC. IN NOTE 10",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.87.00,"MILK PRODUCTS NOT FERMENTED,DESC. IN NOTE 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.85.00,"FERMENTED MILK, NOT DRIED, NOT WITH LACTIC FERMENTS",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.78.00,"SOUR CREAM OVER 45 PERCENT BUTTERFAT, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.74.00,"SOUR CREAM OVER 45 PERCENT BUTTERFAT, US NOTE 6",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.72.00,"SOUR CREAM OVER 45 PERCENT BUTTERFAT, GEN.NOTE 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.65.00,"SOUR CREAM, DRIED, >35% BUT <=45% BFT, OTHER",AQX,APHIS Data May Be Required [WARNING],AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.61.00,"SOUR CREAM, DRIED, >35% BUT <=45% BFT, US NOTE 9",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.57.00,"SOUR CREAM, DRIED, >35% BUT <=45% BFT, GN 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.55.00,"SOUR CREAM, DRIED,>6% BUT<=35% BUTTERFAT, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.51.00,"SOUR CREAM, DRIED,>6% BUT<=35% BUTTERFAT, US NOTE 8",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.47.00,"SOUR CREAM, DRIED,>6% BUT<=35% BUTTERFAT, GN 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.45.00,"SOUR CREAM, DRIED, NOT OVER 6% BUTTERFAT, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.41.90,"SOUR CREAM, DRIED, NOT OVER 6% BUTFT, USN 12, NO LICENSE",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.41.10,"SOUR CREAM, DRIED, NOT OVER 6% BUTFT, USN 12, LIC REQD.",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.37.00,"SOUR CREAM, DRIED, NOT OVER 6% BUTTERFAT, GN 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.20.00,"BUTTERMILK, FLUID",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.16.00,"SOUR CREAM, FLUID, NOT OV 45 % BUTERFT, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.04.00,"SOUR CREAM, FLUID, NOT OV 45 % BUTERFT, US NOTE 5",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.90.02.00,"SOUR CREAM, FLUID, NOT OV 45 % BUTERFT, GN 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.20.90.00,"OTHER, Yogurt; buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.20.50.00,"IN DRY FORM, OTHER, Yogurt; buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.20.10.00,"IN DRY FORM, US NOTE 10, Yogurt; buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0403.20.05.00,"IN DRY FORM, GN 15, Yogurt; buttermilk, curdled milk and cream, kephir and other fermented or acidified milk and cream",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.99.90.00,"CONCENTRATED MILK, SWEETENED, NOT CONDENSED, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.99.70.00,"CONCENTRATED MILK, SWEETENED, NOT CONDENSED, US NOTE 10",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.99.68.00,"CONCENTRATED MILK, SWEETENED, NOT CONDENSED, GEN NOTE 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.99.55.00,"CONDENSED MILK, NOT AIRTIGHT CONT., OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.99.45.00,"CONDENSED MILK, AIRTIGHT CONT., OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.99.30.00,"CONDENSED MILK, NOT AIRTIGHT CONT., USNOTE 11",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.99.10.00,"CONDENSED MILK, AIRTIGHT CONT., USNOTE 11",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.99.06.00,"CONDENSED MILK NOT AIRTIGHT CONT., GN 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.99.03.00,"CONDENSED MILK IN AIRTIGHT CONTAINERS, GN 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.91.90.00,"MILK/CR CONCENTRATE, NOT SWEETENED, NOT AIRTIGHT, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.91.70.00,"MILK/CR CONCENTRATE, NOT SWEETENED, AIRTIGHT CONT, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.91.30.00,"MILK/CR CONCENTRATE, NOT SWEETENED, NOT AIRTIGHT,USN 11",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.91.10.00,"MILK/CR CONCENTRATE, NOT SWEETENED, AIRTIGHT CONT,USN 11",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.91.06.00,"MILK/CR CONCENTRATE, NT SWEETENED, NT AIRTIGHT, GEN NOTE 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.91.03.00,"MILK/CR CONCENTRATE NOT SWEET, AIRTIGHT CONT.,GEN NOTE 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.29.50.00,"2ILK/CR, POWDERED, SWEETENED, OVER 1.5% FAT, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.29.10.00,"MILK/CR, POWDERED, SWEETENED, OVER 1.5% FAT, USN 10",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.29.05.00,"MILK/CR, POWDERED, SWEETENED, OVER 1.5% FAT, GN 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.21.90.00,"MILK/CR, POWDERED, NOT SWEETENED, OVER 35% FAT, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.21.75.00,"MILK/CR, POWDERED, NOT SWEETENED, OVER 35% FAT, USN 9",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.21.73.00,"MILK/CR, POWDERED, NOT SWEETENED, OVER 35% FAT, GN 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.21.50.00,"MILK/CREAM/NON-SWT POWDER >3% FAT BUT <=35%, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.21.30.00,"MILK/CREAM/NON-SWT POWDER >3% FAT BUT <=35%, USN 8",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.21.27.00,"MILK/CREAM/NON-SWT POWDER >3% FAT BUT <=35%, GN 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.21.25.00,"MILK/CREAM/NON-SWT POWDER >1.5% FAT BUT <=3%, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.21.05.00,"MILK/CREAM/NON-SWT POWDER >1.5% FAT BUT <=3%, USN 7",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.21.02.00,"MILK/CREAM/NON-SWT POWDER >1.5% FAT BUT <=3%,GN 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.10.50.00,"MILK/CREAM/SW POWDERED <=1.5% FAT, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.10.10.00,"MILK/CREAM/SW POWDERED <=1.5% FAT, U.S. NOTE 7",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0402.10.05.00,"MILK/CREAM/SW POWDERED <=1.5% FAT, GEN NOTE 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0401.50.75.00,"MILK/CREAM OVER 45% FAT BY WEIGHT, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0401.50.50.00,"MILK/CREAM OVER 45% FAT BY WEIGHT,  U.S. NOTE 6",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0401.50.42.00,"MILK/CREAM OVER 45% FAT BY WEIGHT,  GEN NOTE 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0401.50.25.00,"MILK/CREAM OVER 6% BUT <=45% FAT, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0401.50.05.00,"MILK/CREAM OVER 6% BUT <=45% FAT, SEE U.S. NOTE 5",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0401.50.02.00,"MILK/CREAM OVER 6% BUT NOT OVER 45% FAT, GEN NOTE 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0401.40.25.00,"MILK/CREAM OVER 6% BUT <=45% FAT, OTHER",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0401.40.05.00,"MILK/CREAM OVER 6% BUT <=45% FAT, SEE U.S. NOTE 5",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
0401.40.02.00,"MILK/CREAM OVER 6% BUT NOT OVER 45% FAT, GEN NOTE 15",AQ1,APHIS Data May Be Required,AP0300 Animal Product,302,VS,Milk and Milk Products,N/A
