10 digit HTS,10 digit HTS Description,APHIS Flag,APHIS Flag Description,APHIS Primary Category Type,Category Code,APHIS Operational Program,Category Code Description,APHIS Secondary Category Type
2922.49.43.00,Glycine (Aminoacetic acid),AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2922.41.00.90,"Oxygen-function amino-compounds: Amino-acids, other than those containing more than one
kind of oxygen function, and their esters; salts thereof: Lysine and its esters; salts thereof: Other",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2922.41.00.10,"Oxygen-function amino-compounds: Amino-acids, other than those containing more than one
kind of oxygen function, and their esters; salts thereof: Lysine and its esters; salts thereof: Meeting requirements of Food Chemical Codex,
Codex Alimentarius or United States
Pharmacopeia",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2918.19.90.00,"CARBOXYLIC ACIDS WITH ALCOHOL FUNCTION, OTHER, OTHER, NSPF",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2916.15.51.00,"Unsaturated acyclic monocarboxylic acids, cyclic
monocarboxylic acids, their anhydrides, halides, peroxides
and peroxyacids; their halogenated, sulfonated, nitrated or
nitrosated derivatives: Unsaturated acyclic monocarboxylic acids, their
anhydrides, halides, peroxides, peroxyacids and their
derivatives: Oleic, linoleic or linolenic acids, their salts and esters: Other",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2916.15.10.00,"Unsaturated acyclic monocarboxylic acids, cyclic
monocarboxylic acids, their anhydrides, halides, peroxides
and peroxyacids; their halogenated, sulfonated, nitrated or
nitrosated derivatives: Unsaturated acyclic monocarboxylic acids, their
anhydrides, halides, peroxides, peroxyacids and their
derivatives: Oleic, linoleic or linolenic acids, their salts and esters: Oleic, linoleic or linolenic acids",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2915.90.10.50,"Saturated acyclic monocarboxylic acids and their anhydrides,
halides, peroxides and peroxyacids; their halogenated,
sulfonated, nitrated or nitrosated derivatives: Other: Acids: Fatty acids of animal or vegetable origin: Other",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2915.90.10.10,"Saturated acyclic monocarboxylic acids and their anhydrides,
halides, peroxides and peroxyacids; their halogenated,
sulfonated, nitrated or nitrosated derivatives: Other: Acids: Fatty acids of animal or vegetable origin: Lauric acid",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2915.70.01.50,"Saturated acyclic monocarboxylic acids and their anhydrides,
halides, peroxides and peroxyacids; their halogenated,
sulfonated, nitrated or nitrosated derivatives: Palmitic acid, stearic acid, their salts and esters: Other",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2915.70.01.20,"Saturated acyclic monocarboxylic acids and their anhydrides,
halides, peroxides and peroxyacids; their halogenated,
sulfonated, nitrated or nitrosated derivatives: Palmitic acid, stearic acid, their salts and esters: Stearic acid",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2915.70.01.10,"Saturated acyclic monocarboxylic acids and their anhydrides,
halides, peroxides and peroxyacids; their halogenated,
sulfonated, nitrated or nitrosated derivatives: Palmitic acid, stearic acid, their salts and esters: Palmitic acid",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2906.13.50.00,OTHER STEROLS AND INOSITOLS,AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2844.43.00.50,"OTHER RADIOACTIVE ALLOYS,DISPERSIONS,CERMIC PROD & MIXTURES",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2835.25.00.00,"Phosphinates (hypophosphites), phosphonates (phosphites)
and phosphates; polyphosphates, whether or not chemically
defined: Phosphates: Calcium hydrogenorthophosphate (""Dicalcium
phosphate"")",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 309A, 399",VS,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Animal By-Products for technical use; Other Animal Products and by-products",N/A
2806.10.00.00,HYDROGEN CHLORIDE (HYDROCHLORIC ACID),AQ1,APHIS Data May Be Required,AP0300 Animal Product,399,VS,Other Animal Products and by- products,N/A
2710.99.39.00,"OTHER GREASES, WITH OR WITHOUT ADDITIVES",AQ1,APHIS Data May Be Required,AP0300 Animal Product,399,VS,Other Animal Products and by- products,N/A
2710.99.32.00,"GREASE,CONT N/O10% OF SALT OF FATTY ACIDS OF ANIML/VEG ORIG",AQ1,APHIS Data May Be Required,AP0300 Animal Product,399,VS,Other Animal Products and by- products,N/A
2703.00.00.00,"PEAT (INCLUDING PEAT LITTER), WHETHER OR NOT AGGLOMERATED",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
2530.90.80.50,OTHER MINERAL SUBSTANCES NOT ELSEWHERE SPECIFIED OR INCLUDED,AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,721,PPQ,"Soil, rocks, and garbage",N/A
2520.10.00.00,GYPSUM; ANHYDRITE,AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,721,PPQ,"Soil, rocks, and garbage",N/A
2510.20.00.00,"GROUND NATURAL CALCIUM PHOSPHATES,ALUMINUM CALCIUM PHOSPHATE",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 399, 721",VS/PPQ,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Other Animal Products and by-products; Soil, rocks, and garbage",AP0700 Miscellaneous Processed Product
2510.10.00.00,"UNGROUND NATURAL CALCIUM PHOSPHATES,ALUMINUM CALC PHOSPHATES",AQ1,APHIS Data May Be Required,AP0300 Animal Product,"306A, 306B, 399, 721",VS/PPQ,"Pharmaceuticals (not ready for retail sale), Nutraceuticals, and Supplements; Pharmaceuticals Ready for Retail Sale for Human Use; Other Animal Products and by-products; Soil, rocks, and garbage",AP0700 Miscellaneous Processed Product
2505.90.00.00,"SANDS, NATURAL, NESOI",AQX,APHIS Data May Be Required [WARNING],AP0700 Miscellaneous Processed Product,721,PPQ,"Soil, rocks, and garbage",N/A
2401.10.53.40,"CIGAR BINDER, NOT OVER 35% WRAPPER TOBACCO",AQ1,APHIS Data May Be Required,AP0700 Miscellaneous Processed Product,717,PPQ,Processed or dried plant materials,N/A
