Heading,Chapter,Article/Component of Article,Effective Date
95061120,95,Cross-country skis,12/1/2024
95061140,95,Other skis,12/1/2024
95061160,95,"Parts and accessories of skis, not including ski poles",12/1/2024
9506198040,95,Ski poles and parts and accessories thereof,12/1/2024
9506290020,95,Water skis,12/1/2024
9506290030,95,Surf boards,12/1/2024
950640,95,"Articles and equipment for table-tennis, and parts and accessories thereof",12/1/2024
950651,95,"Lawn-tennis rackets, whether or not strung, and parts and accessories thereof",12/1/2024
9506594080,95,Other parts and accessories of badminton rackets not previously listed,12/1/2024
9506990510,95,Bows and bow parts,12/1/2024
9506990520,95,Arrows and arrow parts,12/1/2024
95069915,95,"Baseball articles and equipment, except balls, and parts and accessories thereof",12/1/2024
95069920,95,"Football, soccer, and polo articles and equipment, except balls, and parts and accessories thereof",12/1/2024
95069925,95,"Ice-hockey and field-hockey articles and equipment, except balls and skates, and parts and accessories thereof",12/1/2024
95069945,95,"Other items, including parts and accessories of sleds, bobsleds, toboggans, and the like",12/1/2024
95071000,95,Fishing rods and parts and accessories thereof,12/1/2024
95079080,95,Other items (including parts and accessories) of fishing rods and other line fishing tackle not previously listed,12/1/2024
950810,95,Traveling circuses and traveling menageries,12/1/2024
950822,95,"Carousels, swings, and roundabouts",12/1/2024
950829,95,Other amusement park rides and water park amusements than previously listed,12/1/2024
950830,95,Fairground amusements,12/1/2024
950840,95,Traveling theaters,12/1/2024
9614002100,96,Rough wood blocks for smoking pipe manufacture,8/6/2015
9620005500,96,"Monopods, bipods, tripods and similar articles of wood",10/1/2021
960310,96,"brooms and brushes, consisting of twigs or other vegetable materials bound together, with or without handles",12/1/2024
960330,96,"artist brushes, writing brushes, and similar brushes for the application of cosmetics",12/1/2024
96034020,96,paint rollers,12/1/2024
9603404040,96,natural bristle brushes,12/1/2024
9603404060,96,"other paint, distemper, varnish, or similar brushes than previously listed",12/1/2024
96039040,96,feather dusters,12/1/2024
96039080,96,other brooms,12/1/2024
9605,96,"travel sets for personal toilet, sewing or shoe or clothes cleaning other than manicure and pedicure sets listed under heading 8214",12/1/2024
96062960,96,other buttons,12/1/2024
960810,96,ball point pens,12/1/2024
960830,96,"fountain pens, stylograph pens, and other pens",12/1/2024
96084040,96,"propelling or sliding pencils with a mechanical action for extending, or for extending and retracting, the lead",12/1/2024
960910,96,"pencils and crayons, with leads encased in a sheath",12/1/2024
9610,96,"slates and boards with writing or drawing surfaces, whether or not framed",12/1/2024
9611,96,"date, sealing or numbering stamps and the like (including devices for printing and embossing labels), designed for operating in the hand; hand-operated composing sticks and hand printing sets incorporating such composing sticks",12/1/2024
961320,96,"gas fueled, refillable pocket lighters",12/1/2024
96140025,96,other pipe and pipe bowls of wood or root,12/1/2024
96151940,96,combs and hair-slides valued over $4.50 per gross,12/1/2024
96151960,96,other comb and hair-slides than previously listed,12/1/2024
96159030,96,hair pins,12/1/2024
96170010,96,vacuum flask vessels with parts other than glass inners having a capacity not exceeding 1 liter,12/1/2024
96170030,96,vacuum flask vessels with parts other than glass inners having a capacity exceeding 1 liter but not 2 liters,12/1/2024
96170040,96,vacuum flask vessels with parts other than glass inners having a capacity exceeding 2 liters,12/1/2024
9618,96,tailors' dummies and other mannequins for shopwindow dressing,12/1/2024
9703,97,Sculptures,4/1/2010
