htsCode,description,species,program
1604.20.0590,"Other prepared meals of NSPF Fish containing meat of crustaceans, molluscs or other aquatic invertebrates","NSPF Fish, Invertebrate & Molluscs","SIMP, TTVP"
0307.91.0390,"Live, Fresh or Chilled NSPF Molluscs",NSPF Molluscs,SIMP
0307.92.0190,Frozen NSPF Molluscs,NSPF Molluscs,SIMP
0307.99.0300,"Dried, Salted, in Brine, or Smoked NSPF Molluscs",NSPF Molluscs,SIMP
0309.90.4090,"Live, Fresh, or Chilled flours, meals and pellets of NSPF Molluscs",NSPF Molluscs,SIMP
0309.90.5090,"Frozen flours, meals and pellets of NSPF Molluscs",NSPF Molluscs,SIMP
0309.90.6000,"Flours, meals and pellets of NSPF Molluscs",NSPF Molluscs,SIMP
1605.59.0500,Prepared meals containing NSPF Molluscs ,NSPF Molluscs,SIMP
1605.59.6000,Prepared or preseved NSPF Molluscs,NSPF Molluscs,SIMP
0308.90.0100,"Dried, Salted, in Brine, or Smoked NSPF Aquatic invertebrates: Other than crustaceans and molluscs",NSPF Other Aquatic Invertebrates,SIMP
0309.90.9000,"Flours, meals and pellets of NSPF Aquatic invertebrates; Other than crustaceans and molluscs",NSPF Other Aquatic Invertebrates,SIMP
1605.69.0000,Prepared or preseved NSPF Aquatic invertebrates,NSPF Other Aquatic Invertebrates,SIMP
0306.14.4003,Frozen Red King Crab (Paralithodes camtschaticus),Red King Crab,SIMP
0306.14.4015,Frozen NSPF King Crab,Red King Crab,SIMP
1605.10.2010,King Crab Crabmeat in airtight containers,Red King Crab,SIMP
1605.10.4002,Frozen King Crab Crabmeat,Red King Crab,SIMP
0308.11.0000,"Live, Fresh or Chilled Sea Cucumbers (Stichopus japonicus, Holothuroidea)",Sea Cucumber,SIMP
0308.12.0000,"Frozen Sea Cucumbers (Stichopus japonicus, Holothuroidea)",Sea Cucumber,SIMP
0308.19.0100,"Dried, Salted, in Brine, or Smoked NSPF Sea Cucumbers (Stichopus japonicus, Holothuroidea)",Sea Cucumber,SIMP
1605.61.0000,Prepared or preseved Sea Cucumbers,Sea Cucumber,SIMP
0302.81.0011,Fresh or Chilled Dogfish (Squalus spp.),Shark,SIMP
0302.81.0091,Fresh or Chilled NSPF Sharks,Shark,SIMP
0302.92.0000,Fresh or Chilled Shark Fins,Shark,SIMP
0303.81.0011,Frozen Dogfish (Squalus spp.),Shark,SIMP
0303.81.0091,Frozen NSPF Sharks,Shark,SIMP
0303.92.0000,Frozen Shark Fins,Shark,SIMP
0304.47.0000,Fresh or Chilled Dogfish and NSPF Shark Fillets,Shark,SIMP
0304.56.0000,Fresh or Chilled Dogfish and NSPF Shark,Shark,SIMP
0304.88.0000,"Frozen Dogfish, NSPF Shark, Ray or Skate Fillets",Shark,SIMP
0304.96.0000,Frozen Dogfish and NSPF Shark,Shark,SIMP
0305.71.0000,"Dried, Salted, in Brine, or Smoked NSPF Shark fins",Shark,"SIMP, HMS"
1604.18.1000,NSPF Shark fins; In airtight containers,Shark,SIMP
1604.18.9000,Prepared or preserved NSPF Shark fins,Shark,SIMP
0306.16.0003,"Frozen Cold-water Shrimps and Prawns (Pandalus spp., Crangon crangon); Shell-on, Count size less than 33 per kg (15s)",Shrimp,SIMP
0306.16.0006,"Frozen Cold-water Shrimps and Prawns (Pandalus spp., Crangon crangon); Shell-on, Count size less than 33-45 per kg (15-20s)",Shrimp,SIMP
0306.16.0009,"Frozen Cold-water Shrimps and Prawns (Pandalus spp., Crangon crangon); Shell-on, Count size less than 46-55 per kg (21-25s)",Shrimp,SIMP
0306.16.0012,"Frozen Cold-water Shrimps and Prawns (Pandalus spp., Crangon crangon); Shell-on, Count size less than 56-66 per kg (26-30s)",Shrimp,SIMP
0306.16.0015,"Frozen Cold-water Shrimps and Prawns (Pandalus spp., Crangon crangon); Shell-on, Count size less than 67-88 per kg (31-40s)",Shrimp,SIMP
0306.16.0018,"Frozen Cold-water Shrimps and Prawns (Pandalus spp., Crangon crangon); Shell-on, Count size less than 89-110 per kg (41-50s)",Shrimp,SIMP
0306.16.0021,"Frozen Cold-water Shrimps and Prawns (Pandalus spp., Crangon crangon); Shell-on, Count size less than 111-132 per kg (51-60s)",Shrimp,SIMP
0306.16.0024,"Frozen Cold-water Shrimps and Prawns (Pandalus spp., Crangon crangon); Shell-on, Count size less than 133-154 per kg (61-70s)",Shrimp,SIMP
0306.16.0027,"Frozen Cold-water Shrimps and Prawns (Pandalus spp., Crangon crangon); Shell-on, Count more than 154 per kg (70s)",Shrimp,SIMP
0306.16.0040,"Frozen Cold-water Shrimps and Prawns (Pandalus spp., Crangon crangon); Peeled",Shrimp,SIMP
0306.17.0004,"Frozen Farmed NSPF Shrimps and Prawns; Shell-on, Count size (headless weight) less than 33 per kg (15s)",Shrimp,SIMP
0306.17.0005,"Frozen Farmed NSPF Shrimps and Prawns; Shell-on, Count size less than 33-45 per kg (15-20s)",Shrimp,SIMP
0306.17.0007,"Frozen Farmed NSPF Shrimps and Prawns; Shell-on, Count size less than 46-55 per kg (21-25s)",Shrimp,SIMP
0306.17.0008,"Frozen Farmed NSPF Shrimps and Prawns; Shell-on, Count size less than 56-66 per kg (26-30s)",Shrimp,SIMP
